Timestamp,bitcoin,ethereum,tether,binancecoin
2024-04-20,306122.5076,14666.22537,4.785259505,2663.570212
2024-04-21,310454.899,15080.08417,4.786103329,2729.838174
2024-04-22,310623.3687,15054.33345,4.783281099,2769.154198
2024-04-23,319369.4842,15288.4991,4.777791423,2891.914522
2024-04-24,317345.5443,15382.80078,4.779951198,2900.72704
2024-04-25,307159.6774,14998.8244,4.777154692,2903.192578
2024-04-26,308082.741,15085.52629,4.776646503,2935.301288
2024-04-27,304305.2132,14935.30397,4.768048802,2851.605872
2024-04-28,302945.5179,15545.00348,4.767732665,2844.523222
2024-04-29,300497.5923,15539.68248,4.76693165,2858.474381
2024-04-30,304155.4377,15321.26231,4.764371003,2828.315148
2024-05-01,289623.1082,14390.93539,4.761273068,2756.520168
2024-05-02,278225.1723,14203.39052,4.7665338,2683.196006
2024-05-03,281243.9277,14213.38795,4.755818997,2666.686569
2024-05-04,297858.4751,14704.19713,4.73976645,2779.692155
2024-05-05,302508.942,14765.21054,4.74067143,2776.26157
2024-05-06,303407.441,14867.36602,4.737972745,2804.040314
2024-05-07,299405.9751,14524.63094,4.738617684,2786.814282
2024-05-08,295476.165,14285.82699,4.738814793,2737.714752
2024-05-09,290314.5278,14112.38514,4.741837493,2791.436362
2024-05-10,299439.2942,14407.28369,4.743047175,2827.847921
2024-05-11,288549.2592,13793.73385,4.738213985,2775.310498
2024-05-12,288022.0707,13785.66942,4.73730622,2803.27143
2024-05-13,291481.9289,13891.48125,4.735589181,2815.192964
2024-05-14,297542.4026,13951.37195,4.732326664,2798.708419
2024-05-15,290298.3678,13600.63618,4.717122295,2674.323929
2024-05-16,311699.9797,14289.3174,4.705097145,2740.780978
2024-05-17,306556.4568,13792.16812,4.697017885,2673.682066
2024-05-18,314311.5824,14512.4883,4.692695568,2725.091994
2024-05-19,313652.9667,14627.57833,4.685914867,2717.219309
2024-05-20,310559.5903,14396.83321,4.687243984,2691.711909
2024-05-21,334579.5112,17126.53118,4.685412303,2814.043056
2024-05-22,328769.191,17764.00546,4.678788439,2898.549398
2024-05-23,324632.785,17558.85515,4.691456511,2884.57068
2024-05-24,319465.9662,17719.01982,4.703863539,2817.050559
2024-05-25,322446.037,17533.98191,4.70230564,2822.811699
2024-05-26,325873.4023,17642.238,4.703921972,2832.980696
2024-05-27,322779.3578,18022.7971,4.710406035,2826.946911
2024-05-28,325817.9203,18287.26272,4.69351426,2835.757322
2024-05-29,320664.6255,18027.42537,4.688397982,2821.101471
2024-05-30,317984.8232,17717.63118,4.70043174,2800.669815
2024-05-31,321624.2065,17633.59857,4.701746943,2799.265463
2024-06-01,317638.3499,17705.23347,4.703781962,2794.87719
2024-06-02,318718.1166,17951.82737,4.704566706,2828.849631
2024-06-03,318852.2596,17795.81131,4.703915144,2838.072187
2024-06-04,323880.6384,17729.56342,4.706452083,2949.23936
2024-06-05,331961.2525,17937.81041,4.702736526,3227.973159
2024-06-06,334596.0912,18195.63426,4.703951678,3289.923296
2024-06-07,332180.8868,17898.72887,4.692414711,3333.299131
2024-06-08,325447.9137,17272.83369,4.692592824,3207.931781
2024-06-09,325399.7563,17289.96265,4.694210454,3205.323619
2024-06-10,326747.668,17384.37636,4.691307577,3159.366476
2024-06-11,328077.2915,17311.09341,4.719685833,2946.428912
2024-06-12,317759.9344,16511.43483,4.718116471,2839.672415
2024-06-13,321900.34,16794.36333,4.716538455,2919.836043
2024-06-14,313991.7421,16312.97782,4.703162688,2820.52994
2024-06-15,311539.2201,16418.07435,4.71650989,2846.111889
2024-06-16,312385.9395,16825.59566,4.716533318,2868.542434
2024-06-17,314392.0307,17077.55159,4.716023555,2878.106989
2024-06-18,313659.7393,16567.13434,4.717754098,2850.255387
2024-06-19,306957.8647,16408.68213,4.714110121,2773.798374
2024-06-20,305485.1466,16736.15322,4.706207673,2815.345464
2024-06-21,305450.8388,16539.90718,4.706027031,2764.620408
2024-06-22,301969.5653,16575.06006,4.710903762,2761.163379
2024-06-23,302762.6651,16470.98562,4.710669882,2783.307624
2024-06-24,297962.2574,16108.07791,4.708048992,2719.930297
2024-06-25,284455.7085,15820.00106,4.711592143,2677.993895
2024-06-26,290598.9121,15973.2109,4.70411698,2719.679462
2024-06-27,286283.8858,15862.01426,4.708625852,2695.386901
2024-06-28,290544.9046,16248.81449,4.713493629,2739.59806
2024-06-29,284545.905,15919.6997,4.708681729,2673.780798
2024-06-30,287128.0106,15904.00504,4.709792012,2684.436667
2024-07-01,295949.5029,16206.11421,4.710452482,2744.54052
2024-07-02,296069.8224,16203.33679,4.708436835,2716.847546
2024-07-03,292704.4133,16124.96119,4.711511287,2731.721551
2024-07-04,284300.673,15553.24972,4.715035685,2628.442975
2024-07-05,269332.4155,14453.6599,4.705524105,2420.425746
2024-07-06,267273.124,14058.00726,4.712212742,2348.758779
2024-07-07,274294.6956,14443.55856,4.712982779,2484.584489
2024-07-08,263224.5082,13795.1761,4.709835457,2307.657976
2024-07-09,266921.1454,14207.26064,4.709376856,2403.450016
2024-07-10,272979.9388,14424.21479,4.705632272,2432.224263
2024-07-11,271815.6449,14601.18483,4.708876018,2469.684383
2024-07-12,269265.3991,14555.00736,4.693532995,2465.291082
2024-07-13,271663.4638,14699.94609,4.692452119,2504.575223
2024-07-14,277544.5582,14890.08187,4.690913682,2495.346765
2024-07-15,284570.1994,15188.26872,4.669033975,2544.841908
2024-07-16,302878.9903,16296.70881,4.675902047,2739.844854
2024-07-17,304698.6167,16117.0773,4.678820559,2698.3949
